surah:ayah	position	word	meaning	form	p-o-s	ayah_link
5:14	7	mīthāqahum	their covenant	I	Noun	 وَمِنَ الَّذِينَ قَالُوا إِنَّا نَصَارَىٰ أَخَذْنَا مِيثَاقَهُمْ
5:70	3	mīthāqa	a Covenant	I	Noun	 لَقَدْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ وَأَرْسَلْنَا إِلَيْهِمْ رُسُلًا
7:169	22	mīthāqu	Covenant	I	Noun	 أَلَمْ يُؤْخَذْ عَلَيْهِمْ مِيثَاقُ الْكِتَابِ أَنْ لَا يَقُولُوا عَلَى اللَّهِ إِلَّا الْحَقَّ
8:72	41	mīthāqun	(is) a treaty	I	Noun	 فَعَلَيْكُمُ النَّصْرُ إِلَّا عَلَىٰ قَوْمٍ بَيْنَكُمْ وَبَيْنَهُمْ مِيثَاقٌ
13:20	7	l-mīthāqa	the contract	I	Noun	 الَّذِينَ يُوفُونَ بِعَهْدِ اللَّهِ وَلَا يَنْقُضُونَ الْمِيثَاقَ
13:25	7	mīthāqihi	contracting it	I	Noun	 وَالَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ
33:7	5	mīthāqahum	their Covenant	I	Noun	 وَإِذْ أَخَذْنَا مِنَ النَّبِيِّينَ مِيثَاقَهُمْ وَمِنْكَ وَمِنْ نُوحٍ
33:7	16	mīthāqan	a covenant	I	Noun	 وَأَخَذْنَا مِنْهُمْ مِيثَاقًا غَلِيظًا
57:8	12	mīthāqakum	your covenant	I	Noun	 وَقَدْ أَخَذَ مِيثَاقَكُمْ إِنْ كُنْتُمْ مُؤْمِنِينَ
47:4	11	l-wathāqa	the bond	I	Noun	 حَتَّىٰ إِذَا أَثْخَنْتُمُوهُمْ فَشُدُّوا الْوَثَاقَ
89:26	3	wathāqahu	(as) His binding	I	Noun	 وَلَا يُوثِقُ وَثَاقَهُ أَحَدٌ
2:256	18	l-wuth'qā	[the] firm	I	Adjective	 فَمَنْ يَكْفُرْ بِالطَّاغُوتِ وَيُؤْمِنْ بِاللَّهِ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ
31:22	11	l-wuth'qā	the most trustworthy	I	Adjective	 وَمَنْ يُسْلِمْ وَجْهَهُ إِلَى اللَّهِ وَهُوَ مُحْسِنٌ فَقَدِ اسْتَمْسَكَ بِالْعُرْوَةِ الْوُثْقَىٰ
