surah:ayah	position	word	meaning	form	p-o-s	ayah_link
20:120	13	yablā	(that will) deteriorate	I	Verb	 هَلْ أَدُلُّكَ عَلَىٰ شَجَرَةِ الْخُلْدِ وَمُلْكٍ لَا يَبْلَىٰ
21:35	5	wanablūkum	And We test you	I	Verb	 وَنَبْلُوكُمْ بِالشَّرِّ وَالْخَيْرِ فِتْنَةً وَإِلَيْنَا تُرْجَعُونَ
27:40	24	liyabluwanī	to test me	I	Verb	 فَلَمَّا رَآهُ مُسْتَقِرًّا عِنْدَهُ قَالَ هَٰذَا مِنْ فَضْلِ رَبِّي لِيَبْلُوَنِي
47:4	28	liyabluwā	to test	I	Verb	 وَلَوْ يَشَاءُ اللَّهُ لَانْتَصَرَ مِنْهُمْ وَلَٰكِنْ لِيَبْلُوَ بَعْضَكُمْ بِبَعْضٍ
47:31	1	walanabluwannakum	And surely We will test you	I	Verb	 وَلَنَبْلُوَنَّكُمْ حَتَّىٰ نَعْلَمَ الْمُجَاهِدِينَ مِنْكُمْ وَالصَّابِرِينَ
47:31	7	wanabluwā	and We will test	I	Verb	 وَلَنَبْلُوَنَّكُمْ حَتَّىٰ نَعْلَمَ الْمُجَاهِدِينَ مِنْكُمْ وَالصَّابِرِينَ وَنَبْلُوَ أَخْبَارَكُمْ
67:2	5	liyabluwakum	that He may test you	I	Verb	 الَّذِي خَلَقَ الْمَوْتَ وَالْحَيَاةَ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا
68:17	2	balawnāhum	have tried them	I	Verb	 إِنَّا بَلَوْنَاهُمْ كَمَا بَلَوْنَا أَصْحَابَ الْجَنَّةِ إِذْ أَقْسَمُوا
68:17	4	balawnā	We tried	I	Verb	 إِنَّا بَلَوْنَاهُمْ كَمَا بَلَوْنَا أَصْحَابَ الْجَنَّةِ إِذْ أَقْسَمُوا
86:9	2	tub'lā	will be tested	I	Verb	 يَوْمَ تُبْلَى السَّرَائِرُ
3:186	1	latub'lawunna	You will certainly be tested	IV	Verb	 لَتُبْلَوُنَّ فِي أَمْوَالِكُمْ وَأَنْفُسِكُمْ
8:17	13	waliyub'liya	and that He may test	IV	Verb	 وَلِيُبْلِيَ الْمُؤْمِنِينَ مِنْهُ بَلَاءً حَسَنًا إِنَّ اللَّهَ سَمِيعٌ عَلِيمٌ
2:124	2	ib'talā	tried	VIII	Verb	 وَإِذِ ابْتَلَىٰ إِبْرَاهِيمَ رَبُّهُ بِكَلِمَاتٍ فَأَتَمَّهُنَّ
3:152	32	liyabtaliyakum	so that He may test you	VIII	Verb	 ثُمَّ صَرَفَكُمْ عَنْهُمْ لِيَبْتَلِيَكُمْ
3:154	63	waliyabtaliya	And that might test	VIII	Verb	 وَلِيَبْتَلِيَ اللَّهُ مَا فِي صُدُورِكُمْ وَلِيُمَحِّصَ مَا فِي قُلُوبِكُمْ
4:6	1	wa-ib'talū	And test	VIII	Verb	 وَابْتَلُوا الْيَتَامَىٰ
33:11	2	ub'tuliya	were tried	VIII	Verb	 هُنَالِكَ ابْتُلِيَ الْمُؤْمِنُونَ وَزُلْزِلُوا زِلْزَالًا شَدِيدًا
76:2	7	nabtalīhi	(that) We test him	VIII	Verb	 إِنَّا خَلَقْنَا الْإِنْسَانَ مِنْ نُطْفَةٍ أَمْشَاجٍ نَبْتَلِيهِ
89:15	5	ib'talāhu	try him	VIII	Verb	 فَأَمَّا الْإِنْسَانُ إِذَا مَا ابْتَلَاهُ رَبُّهُ فَأَكْرَمَهُ وَنَعَّمَهُ فَيَقُولُ رَبِّي أَكْرَمَنِ
89:16	4	ib'talāhu	He try him	VIII	Verb	 وَأَمَّا إِذَا مَا ابْتَلَاهُ فَقَدَرَ عَلَيْهِ رِزْقَهُ فَيَقُولُ رَبِّي أَهَانَنِ
2:49	15	balāon	(was) a trial	I	Noun	 وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ
7:141	15	balāon	(was) a trial	I	Noun	 وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ
8:17	16	balāan	(with) a trial	I	Noun	 وَلِيُبْلِيَ الْمُؤْمِنِينَ مِنْهُ بَلَاءً حَسَنًا
14:6	23	balāon	(was) a trial	I	Noun	 وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ
37:106	4	l-balāu	the trial	I	Noun	 إِنَّ هَٰذَا لَهُوَ الْبَلَاءُ الْمُبِينُ
44:33	6	balāon	(was) a trial	I	Noun	 وَآتَيْنَاهُمْ مِنَ الْآيَاتِ مَا فِيهِ بَلَاءٌ مُبِينٌ
2:249	8	mub'talīkum	will test you	VIII	Active participle	 فَلَمَّا فَصَلَ طَالُوتُ بِالْجُنُودِ قَالَ إِنَّ اللَّهَ مُبْتَلِيكُمْ بِنَهَرٍ
23:30	7	lamub'talīna	surely testing	VIII	Active participle	 إِنَّ فِي ذَٰلِكَ لَآيَاتٍ وَإِنْ كُنَّا لَمُبْتَلِينَ
