surah_ayah	position	string	meaning	ayah_link
39:67	15	wataʿālā	And High is He	 وَالسَّمَاوَاتُ مَطْوِيَّاتٌ بِيَمِينِهِ سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ
40:12	14	l-ʿaliyi	the Most High	 وَإِنْ يُشْرَكْ بِهِ تُؤْمِنُوا فَالْحُكْمُ لِلَّهِ الْعَلِيِّ الْكَبِيرِ
42:4	9	l-ʿaliyu	(is) the Most High	 لَهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ وَهُوَ الْعَلِيُّ الْعَظِيمُ
42:51	21	ʿaliyyun	(is) Most High	 أَوْ يُرْسِلَ رَسُولًا فَيُوحِيَ بِإِذْنِهِ مَا يَشَاءُ إِنَّهُ عَلِيٌّ حَكِيمٌ
43:4	6	laʿaliyyun	surely exalted	 وَإِنَّهُ فِي أُمِّ الْكِتَابِ لَدَيْنَا لَعَلِيٌّ حَكِيمٌ
44:19	3	taʿlū	exalt yourselves	 وَأَنْ لَا تَعْلُوا عَلَى اللَّهِ إِنِّي آتِيكُمْ بِسُلْطَانٍ مُبِينٍ
44:31	5	ʿāliyan	arrogant	 مِنْ فِرْعَوْنَ إِنَّهُ كَانَ عَالِيًا مِنَ الْمُسْرِفِينَ
47:35	7	l-aʿlawna	(are) superior	 فَلَا تَهِنُوا وَتَدْعُوا إِلَى السَّلْمِ وَأَنْتُمُ الْأَعْلَوْنَ وَاللَّهُ مَعَكُمْ
53:7	3	l-aʿlā	the highest	 وَهُوَ بِالْأُفُقِ الْأَعْلَىٰ
63:5	4	taʿālaw	Come	 وَإِذَا قِيلَ لَهُمْ تَعَالَوْا يَسْتَغْفِرْ لَكُمْ رَسُولُ اللَّهِ لَوَّوْا رُءُوسَهُمْ
69:22	3	ʿāliyatin	elevated	 فِي جَنَّةٍ عَالِيَةٍ
72:3	2	taʿālā	Exalted is	 وَأَنَّهُ تَعَالَىٰ جَدُّ رَبِّنَا مَا اتَّخَذَ صَاحِبَةً وَلَا وَلَدًا
76:21	1	ʿāliyahum	Upon them	 عَالِيَهُمْ ثِيَابُ سُنْدُسٍ خُضْرٌ وَإِسْتَبْرَقٌ
79:24	4	l-aʿlā	the Most High	 فَقَالَ أَنَا رَبُّكُمُ الْأَعْلَىٰ
83:18	6	ʿilliyyīna	Illiyin	 كَلَّا إِنَّ كِتَابَ الْأَبْرَارِ لَفِي عِلِّيِّينَ
83:19	4	ʿilliyyūna	(is) Illiyun	 وَمَا أَدْرَاكَ مَا عِلِّيُّونَ
87:1	4	l-aʿlā	the Most High	 سَبِّحِ اسْمَ رَبِّكَ الْأَعْلَى
88:10	3	ʿāliyatin	elevated	 فِي جَنَّةٍ عَالِيَةٍ
92:20	5	l-aʿlā	the Most High	 إِلَّا ابْتِغَاءَ وَجْهِ رَبِّهِ الْأَعْلَىٰ
