surah:ayah	position	string	meaning	ayah_link
6:76	4	al-laylu	the night	 فَلَمَّا جَنَّ عَلَيْهِ اللَّيْلُ رَأَىٰ كَوْكَبًا قَالَ هَٰذَا رَبِّي
6:96	4	al-layla	the night	 فَالِقُ الْإِصْبَاحِ وَجَعَلَ اللَّيْلَ سَكَنًا وَالشَّمْسَ وَالْقَمَرَ حُسْبَانًا
7:54	16	al-layla	the night	 ثُمَّ اسْتَوَىٰ عَلَى الْعَرْشِ يُغْشِي اللَّيْلَ النَّهَارَ يَطْلُبُهُ حَثِيثًا
7:142	4	laylatan	nights	 وَوَاعَدْنَا مُوسَىٰ ثَلَاثِينَ لَيْلَةً وَأَتْمَمْنَاهَا بِعَشْرٍ
7:142	11	laylatan	night(s)	 فَتَمَّ مِيقَاتُ رَبِّهِ أَرْبَعِينَ لَيْلَةً
10:6	4	al-layli	(of) the night	 إِنَّ فِي اخْتِلَافِ اللَّيْلِ وَالنَّهَارِ وَمَا خَلَقَ اللَّهُ فِي السَّمَاوَاتِ وَالْأَرْضِ لَآيَاتٍ لِقَوْمٍ يَتَّقُونَ
10:24	30	laylan	(by) night	 أَتَاهَا أَمْرُنَا لَيْلًا أَوْ نَهَارًا فَجَعَلْنَاهَا حَصِيدًا
10:27	20	al-layli	the darkness (of) night	 كَأَنَّمَا أُغْشِيَتْ وُجُوهُهُمْ قِطَعًا مِنَ اللَّيْلِ مُظْلِمًا
10:67	5	al-layla	the night	 هُوَ الَّذِي جَعَلَ لَكُمُ اللَّيْلَ لِتَسْكُنُوا فِيهِ وَالنَّهَارَ مُبْصِرًا
11:81	13	al-layli	the night	 فَأَسْرِ بِأَهْلِكَ بِقِطْعٍ مِنَ اللَّيْلِ وَلَا يَلْتَفِتْ مِنْكُمْ أَحَدٌ
11:114	7	al-layli	the night	 وَأَقِمِ الصَّلَاةَ طَرَفَيِ النَّهَارِ وَزُلَفًا مِنَ اللَّيْلِ
13:3	17	al-layla	the night	 وَمِنْ كُلِّ الثَّمَرَاتِ جَعَلَ فِيهَا زَوْجَيْنِ اثْنَيْنِ يُغْشِي اللَّيْلَ النَّهَارَ
13:10	12	bi-al-layli	by night	 وَمَنْ جَهَرَ بِهِ وَمَنْ هُوَ مُسْتَخْفٍ بِاللَّيْلِ وَسَارِبٌ بِالنَّهَارِ
14:33	8	al-layla	the night	 وَسَخَّرَ لَكُمُ الشَّمْسَ وَالْقَمَرَ دَائِبَيْنِ وَسَخَّرَ لَكُمُ اللَّيْلَ وَالنَّهَارَ
15:65	5	al-layli	the night	 فَأَسْرِ بِأَهْلِكَ بِقِطْعٍ مِنَ اللَّيْلِ وَاتَّبِعْ أَدْبَارَهُمْ
16:12	3	al-layla	the night	 وَسَخَّرَ لَكُمُ اللَّيْلَ وَالنَّهَارَ وَالشَّمْسَ وَالْقَمَرَ
17:1	5	laylan	(by) night	 سُبْحَانَ الَّذِي أَسْرَىٰ بِعَبْدِهِ لَيْلًا مِنَ الْمَسْجِدِ الْحَرَامِ إِلَى الْمَسْجِدِ الْأَقْصَى
17:12	2	al-layla	the night	 وَجَعَلْنَا اللَّيْلَ وَالنَّهَارَ آيَتَيْنِ
17:12	7	al-layli	(of) the night	 فَمَحَوْنَا آيَةَ اللَّيْلِ وَجَعَلْنَا آيَةَ النَّهَارِ مُبْصِرَةً
17:78	7	al-layli	(of) the night	 أَقِمِ الصَّلَاةَ لِدُلُوكِ الشَّمْسِ إِلَىٰ غَسَقِ اللَّيْلِ
17:79	2	al-layli	the night	 وَمِنَ اللَّيْلِ فَتَهَجَّدْ بِهِ نَافِلَةً لَكَ
19:10	12	layālin	nights	 قَالَ آيَتُكَ أَلَّا تُكَلِّمَ النَّاسَ ثَلَاثَ لَيَالٍ سَوِيًّا
20:130	15	al-layli	(of) the night	 وَمِنْ آنَاءِ اللَّيْلِ فَسَبِّحْ وَأَطْرَافَ النَّهَارِ لَعَلَّكَ تَرْضَىٰ
21:20	2	al-layla	[the] night	 يُسَبِّحُونَ اللَّيْلَ وَالنَّهَارَ لَا يَفْتُرُونَ
21:33	4	al-layla	the night	 وَهُوَ الَّذِي خَلَقَ اللَّيْلَ وَالنَّهَارَ وَالشَّمْسَ وَالْقَمَرَ
21:42	4	bi-al-layli	in the night	 قُلْ مَنْ يَكْلَؤُكُمْ بِاللَّيْلِ وَالنَّهَارِ مِنَ الرَّحْمَٰنِ
22:61	5	al-layla	the night	 ذَٰلِكَ بِأَنَّ اللَّهَ يُولِجُ اللَّيْلَ فِي النَّهَارِ
22:61	11	al-layli	the night	 وَيُولِجُ النَّهَارَ فِي اللَّيْلِ وَأَنَّ اللَّهَ سَمِيعٌ بَصِيرٌ
23:80	7	al-layli	(of) the night	 وَهُوَ الَّذِي يُحْيِي وَيُمِيتُ وَلَهُ اخْتِلَافُ اللَّيْلِ وَالنَّهَارِ
24:44	3	al-layla	the night	 يُقَلِّبُ اللَّهُ اللَّيْلَ وَالنَّهَارَ إِنَّ فِي ذَٰلِكَ لَعِبْرَةً لِأُولِي الْأَبْصَارِ
25:47	5	al-layla	the night	 وَهُوَ الَّذِي جَعَلَ لَكُمُ اللَّيْلَ لِبَاسًا وَالنَّوْمَ سُبَاتًا
25:62	4	al-layla	the night	 وَهُوَ الَّذِي جَعَلَ اللَّيْلَ وَالنَّهَارَ خِلْفَةً لِمَنْ أَرَادَ أَنْ يَذَّكَّرَ
27:86	5	al-layla	the night	 أَلَمْ يَرَوْا أَنَّا جَعَلْنَا اللَّيْلَ لِيَسْكُنُوا فِيهِ وَالنَّهَارَ مُبْصِرًا
28:71	7	al-layla	the night	 قُلْ أَرَأَيْتُمْ إِنْ جَعَلَ اللَّهُ عَلَيْكُمُ اللَّيْلَ سَرْمَدًا إِلَىٰ يَوْمِ الْقِيَامَةِ
28:73	5	al-layla	the night	 وَمِنْ رَحْمَتِهِ جَعَلَ لَكُمُ اللَّيْلَ وَالنَّهَارَ لِتَسْكُنُوا فِيهِ وَلِتَبْتَغُوا مِنْ فَضْلِهِ
30:23	4	bi-al-layli	by night	 وَمِنْ آيَاتِهِ مَنَامُكُمْ بِاللَّيْلِ وَالنَّهَارِ وَابْتِغَاؤُكُمْ مِنْ فَضْلِهِ
31:29	6	al-layla	the night	 أَلَمْ تَرَ أَنَّ اللَّهَ يُولِجُ اللَّيْلَ فِي النَّهَارِ
31:29	12	al-layli	the night	 وَيُولِجُ النَّهَارَ فِي اللَّيْلِ
34:18	15	layāliya	(by) night	 سِيرُوا فِيهَا لَيَالِيَ وَأَيَّامًا آمِنِينَ
34:33	8	al-layli	(by) night	 بَلْ مَكْرُ اللَّيْلِ وَالنَّهَارِ إِذْ تَأْمُرُونَنَا أَنْ نَكْفُرَ بِاللَّهِ
35:13	2	al-layla	the night	 يُولِجُ اللَّيْلَ فِي النَّهَارِ
35:13	8	al-layli	the night	 وَيُولِجُ النَّهَارَ فِي اللَّيْلِ
36:37	3	al-laylu	(is) the night	 وَآيَةٌ لَهُمُ اللَّيْلُ نَسْلَخُ مِنْهُ النَّهَارَ فَإِذَا هُمْ مُظْلِمُونَ
36:40	9	al-laylu	the night	 لَا الشَّمْسُ يَنْبَغِي لَهَا أَنْ تُدْرِكَ الْقَمَرَ وَلَا اللَّيْلُ سَابِقُ النَّهَارِ
37:138	1	wabi-al-layli	And at night	 وَبِاللَّيْلِ أَفَلَا تَعْقِلُونَ
39:5	6	al-layla	the night	 يُكَوِّرُ اللَّيْلَ عَلَى النَّهَارِ
39:5	12	al-layli	the night	 وَيُكَوِّرُ النَّهَارَ عَلَى اللَّيْلِ
39:9	5	al-layli	(of) the night	 أَمَّنْ هُوَ قَانِتٌ آنَاءَ اللَّيْلِ سَاجِدًا وَقَائِمًا يَحْذَرُ الْآخِرَةَ
40:61	5	al-layla	the night	 اللَّهُ الَّذِي جَعَلَ لَكُمُ اللَّيْلَ لِتَسْكُنُوا فِيهِ وَالنَّهَارَ مُبْصِرًا
41:37	3	al-laylu	(are) the night	 وَمِنْ آيَاتِهِ اللَّيْلُ وَالنَّهَارُ وَالشَّمْسُ وَالْقَمَرُ
41:38	8	bi-al-layli	by night	 فَإِنِ اسْتَكْبَرُوا فَالَّذِينَ عِنْدَ رَبِّكَ يُسَبِّحُونَ لَهُ بِاللَّيْلِ وَالنَّهَارِ
44:3	4	laylatin	a Night	 إِنَّا أَنْزَلْنَاهُ فِي لَيْلَةٍ مُبَارَكَةٍ إِنَّا كُنَّا مُنْذِرِينَ
44:23	3	laylan	(by) night	 فَأَسْرِ بِعِبَادِي لَيْلًا إِنَّكُمْ مُتَّبَعُونَ
45:5	2	al-layli	(of) the night	 وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ وَمَا أَنْزَلَ اللَّهُ مِنَ السَّمَاءِ مِنْ رِزْقٍ
50:40	2	al-layli	the night	 وَمِنَ اللَّيْلِ فَسَبِّحْهُ وَأَدْبَارَ السُّجُودِ
51:17	4	al-layli	the night	 كَانُوا قَلِيلًا مِنَ اللَّيْلِ مَا يَهْجَعُونَ
52:49	2	al-layli	the night	 وَمِنَ اللَّيْلِ فَسَبِّحْهُ وَإِدْبَارَ النُّجُومِ
57:6	2	al-layla	the night	 يُولِجُ اللَّيْلَ فِي النَّهَارِ
57:6	8	al-layli	the night	 وَيُولِجُ النَّهَارَ فِي اللَّيْلِ
69:7	4	layālin	nights	 سَخَّرَهَا عَلَيْهِمْ سَبْعَ لَيَالٍ وَثَمَانِيَةَ أَيَّامٍ حُسُومًا
71:5	6	laylan	night	 قَالَ رَبِّ إِنِّي دَعَوْتُ قَوْمِي لَيْلًا وَنَهَارًا
73:2	2	al-layla	(in) the night	 قُمِ اللَّيْلَ إِلَّا قَلِيلًا
73:6	3	al-layli	(at) the night	 إِنَّ نَاشِئَةَ اللَّيْلِ هِيَ أَشَدُّ وَطْئًا وَأَقْوَمُ قِيلًا
73:20	9	al-layli	(of) the night	 إِنَّ رَبَّكَ يَعْلَمُ أَنَّكَ تَقُومُ أَدْنَىٰ مِنْ ثُلُثَيِ اللَّيْلِ
73:20	18	al-layla	the night	 وَاللَّهُ يُقَدِّرُ اللَّيْلَ وَالنَّهَارَ
74:33	1	wa-al-layli	And the night	 وَاللَّيْلِ إِذْ أَدْبَرَ
76:26	2	al-layli	the night	 وَمِنَ اللَّيْلِ فَاسْجُدْ لَهُ وَسَبِّحْهُ لَيْلًا طَوِيلًا
76:26	6	laylan	a night	 وَمِنَ اللَّيْلِ فَاسْجُدْ لَهُ وَسَبِّحْهُ لَيْلًا طَوِيلًا
78:10	2	al-layla	the night	 وَجَعَلْنَا اللَّيْلَ لِبَاسًا
81:17	1	wa-al-layli	And the night	 وَاللَّيْلِ إِذَا عَسْعَسَ
84:17	1	wa-al-layli	And the night	 وَاللَّيْلِ وَمَا وَسَقَ
89:2	1	walayālin	And the nights	 وَلَيَالٍ عَشْرٍ
89:4	1	wa-al-layli	And the night	 وَاللَّيْلِ إِذَا يَسْرِ
91:4	1	wa-al-layli	And the night	 وَاللَّيْلِ إِذَا يَغْشَاهَا
92:1	1	wa-al-layli	By the night	 وَاللَّيْلِ إِذَا يَغْشَىٰ
93:2	1	wa-al-layli	And the night	 وَاللَّيْلِ إِذَا سَجَىٰ
97:1	4	laylati	(the) Night	 إِنَّا أَنْزَلْنَاهُ فِي لَيْلَةِ الْقَدْرِ
97:2	4	laylatu	(the) Night	 وَمَا أَدْرَاكَ مَا لَيْلَةُ الْقَدْرِ
97:3	1	laylatu	(The) Night	 لَيْلَةُ الْقَدْرِ خَيْرٌ مِنْ أَلْفِ شَهْرٍ
