surah:ayah	position	string	meaning	ayah_link
12:80	7	kabīruhum	the eldest among them	 قَالَ كَبِيرُهُمْ أَلَمْ تَعْلَمُوا أَنَّ أَبَاكُمْ قَدْ أَخَذَ عَلَيْكُمْ مَوْثِقًا مِنَ اللَّهِ
13:9	4	l-kabīru	the Most Great	 عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْكَبِيرُ الْمُتَعَالِ
14:21	7	is'takbarū	were arrogant	 فَقَالَ الضُّعَفَاءُ لِلَّذِينَ اسْتَكْبَرُوا إِنَّا كُنَّا لَكُمْ تَبَعًا
16:22	11	mus'takbirūna	(are) arrogant	 قُلُوبُهُمْ مُنْكِرَةٌ وَهُمْ مُسْتَكْبِرُونَ
16:23	13	l-mus'takbirīna	the arrogant ones	 إِنَّهُ لَا يُحِبُّ الْمُسْتَكْبِرِينَ
16:29	8	l-mutakabirīna	(of) the arrogant	 فَلَبِئْسَ مَثْوَى الْمُتَكَبِّرِينَ
16:41	15	akbaru	(is) greater	 لَنُبَوِّئَنَّهُمْ فِي الدُّنْيَا حَسَنَةً وَلَأَجْرُ الْآخِرَةِ أَكْبَرُ
16:49	14	yastakbirūna	arrogant	 وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ مِنْ دَابَّةٍ وَالْمَلَائِكَةُ وَهُمْ لَا يَسْتَكْبِرُونَ
17:4	13	kabīran	great	 لَتُفْسِدُنَّ فِي الْأَرْضِ مَرَّتَيْنِ وَلَتَعْلُنَّ عُلُوًّا كَبِيرًا
17:9	16	kabīran	great	 وَيُبَشِّرُ الْمُؤْمِنِينَ الَّذِينَ يَعْمَلُونَ الصَّالِحَاتِ أَنَّ لَهُمْ أَجْرًا كَبِيرًا
17:21	8	akbaru	(is) greater	 انْظُرْ كَيْفَ فَضَّلْنَا بَعْضَهُمْ عَلَىٰ بَعْضٍ وَلَلْآخِرَةُ أَكْبَرُ دَرَجَاتٍ
17:21	10	wa-akbaru	and greater	 وَأَكْبَرُ تَفْضِيلًا
17:31	13	kabīran	great	 نَحْنُ نَرْزُقُهُمْ وَإِيَّاكُمْ إِنَّ قَتْلَهُمْ كَانَ خِطْئًا كَبِيرًا
17:43	6	kabīran	great	 سُبْحَانَهُ وَتَعَالَىٰ عَمَّا يَقُولُونَ عُلُوًّا كَبِيرًا
17:51	4	yakburu	(is) great	 أَوْ خَلْقًا مِمَّا يَكْبُرُ فِي صُدُورِكُمْ
17:60	25	kabīran	great	 وَنُخَوِّفُهُمْ فَمَا يَزِيدُهُمْ إِلَّا طُغْيَانًا كَبِيرًا
17:87	9	kabīran	great	 إِلَّا رَحْمَةً مِنْ رَبِّكَ إِنَّ فَضْلَهُ كَانَ عَلَيْكَ كَبِيرًا
17:111	21	takbīran	(with all) magnificence	 وَلَمْ يَكُنْ لَهُ وَلِيٌّ مِنَ الذُّلِّ وَكَبِّرْهُ تَكْبِيرًا
18:5	8	kaburat	Grave (is)	 كَبُرَتْ كَلِمَةً تَخْرُجُ مِنْ أَفْوَاهِهِمْ إِنْ يَقُولُونَ إِلَّا كَذِبًا
18:49	17	kabīratan	a great	 مَالِ هَٰذَا الْكِتَابِ لَا يُغَادِرُ صَغِيرَةً وَلَا كَبِيرَةً إِلَّا أَحْصَاهَا
20:23	4	l-kub'rā	the Greatest	 لِنُرِيَكَ مِنْ آيَاتِنَا الْكُبْرَى
20:71	9	lakabīrukumu	(is) your chief	 إِنَّهُ لَكَبِيرُكُمُ الَّذِي عَلَّمَكُمُ السِّحْرَ
21:19	9	yastakbirūna	they are arrogant	 وَمَنْ عِنْدَهُ لَا يَسْتَكْبِرُونَ عَنْ عِبَادَتِهِ وَلَا يَسْتَحْسِرُونَ
21:58	4	kabīran	a large (one)	 فَجَعَلَهُمْ جُذَاذًا إِلَّا كَبِيرًا لَهُمْ لَعَلَّهُمْ إِلَيْهِ يَرْجِعُونَ
21:63	4	kabīruhum	Their chief	 قَالَ بَلْ فَعَلَهُ كَبِيرُهُمْ هَٰذَا فَاسْأَلُوهُمْ إِنْ كَانُوا يَنْطِقُونَ
21:103	4	l-akbaru	[the] greatest	 لَا يَحْزُنُهُمُ الْفَزَعُ الْأَكْبَرُ وَتَتَلَقَّاهُمُ الْمَلَائِكَةُ
22:37	14	litukabbirū	so that you may magnify	 كَذَٰلِكَ سَخَّرَهَا لَكُمْ لِتُكَبِّرُوا اللَّهَ عَلَىٰ مَا هَدَاكُمْ
22:62	17	l-kabīru	the Most Great	 وَأَنَّ اللَّهَ هُوَ الْعَلِيُّ الْكَبِيرُ
23:46	4	fa-is'takbarū	but they behaved arrogantly	 إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَاسْتَكْبَرُوا وَكَانُوا قَوْمًا عَالِينَ
23:67	1	mus'takbirīna	(Being) arrogant	 مُسْتَكْبِرِينَ بِهِ سَامِرًا تَهْجُرُونَ
25:19	15	kabīran	great	 وَمَنْ يَظْلِمْ مِنْكُمْ نُذِقْهُ عَذَابًا كَبِيرًا
25:21	14	is'takbarū	they have become arrogant	 لَقَدِ اسْتَكْبَرُوا فِي أَنْفُسِهِمْ وَعَتَوْا عُتُوًّا كَبِيرًا
25:21	19	kabīran	great	 لَقَدِ اسْتَكْبَرُوا فِي أَنْفُسِهِمْ وَعَتَوْا عُتُوًّا كَبِيرًا
25:52	7	kabīran	great	 فَلَا تُطِعِ الْكَافِرِينَ وَجَاهِدْهُمْ بِهِ جِهَادًا كَبِيرًا
26:49	9	lakabīrukumu	(is) surely your chief	 إِنَّهُ لَكَبِيرُكُمُ الَّذِي عَلَّمَكُمُ السِّحْرَ فَلَسَوْفَ تَعْلَمُونَ
28:23	27	kabīrun	(is) a very old man	 قَالَتَا لَا نَسْقِي حَتَّىٰ يُصْدِرَ الرِّعَاءُ وَأَبُونَا شَيْخٌ كَبِيرٌ
28:39	1	wa-is'takbara	And he was arrogant	 وَاسْتَكْبَرَ هُوَ وَجُنُودُهُ فِي الْأَرْضِ بِغَيْرِ الْحَقِّ
29:39	8	fa-is'takbarū	but they were arrogant	 وَلَقَدْ جَاءَهُمْ مُوسَىٰ بِالْبَيِّنَاتِ فَاسْتَكْبَرُوا فِي الْأَرْضِ
29:45	17	akbaru	(is) greatest	 إِنَّ الصَّلَاةَ تَنْهَىٰ عَنِ الْفَحْشَاءِ وَالْمُنْكَرِ وَلَذِكْرُ اللَّهِ أَكْبَرُ
31:7	6	mus'takbiran	arrogantly	 وَإِذَا تُتْلَىٰ عَلَيْهِ آيَاتُنَا وَلَّىٰ مُسْتَكْبِرًا كَأَنْ لَمْ يَسْمَعْهَا
31:30	16	l-kabīru	the Most Great	 وَأَنَّ مَا يَدْعُونَ مِنْ دُونِهِ الْبَاطِلُ وَأَنَّ اللَّهَ هُوَ الْعَلِيُّ الْكَبِيرُ
32:15	15	yastakbirūna	are not arrogant	 خَرُّوا سُجَّدًا وَسَبَّحُوا بِحَمْدِ رَبِّهِمْ وَهُمْ لَا يَسْتَكْبِرُونَ
32:21	7	l-akbari	the greater	 وَلَنُذِيقَنَّهُمْ مِنَ الْعَذَابِ الْأَدْنَىٰ دُونَ الْعَذَابِ الْأَكْبَرِ
33:47	8	kabīran	great	 وَبَشِّرِ الْمُؤْمِنِينَ بِأَنَّ لَهُمْ مِنَ اللَّهِ فَضْلًا كَبِيرًا
33:67	6	wakubarāanā	and our great men	 وَقَالُوا رَبَّنَا إِنَّا أَطَعْنَا سَادَتَنَا وَكُبَرَاءَنَا فَأَضَلُّونَا السَّبِيلَا
33:68	8	kabīran	great	 رَبَّنَا آتِهِمْ ضِعْفَيْنِ مِنَ الْعَذَابِ وَالْعَنْهُمْ لَعْنًا كَبِيرًا
34:3	28	akbaru	greater	 وَلَا أَصْغَرُ مِنْ ذَٰلِكَ وَلَا أَكْبَرُ إِلَّا فِي كِتَابٍ مُبِينٍ
34:23	22	l-kabīru	the Most Great	 قَالُوا مَاذَا قَالَ رَبُّكُمْ قَالُوا الْحَقَّ وَهُوَ الْعَلِيُّ الْكَبِيرُ
34:31	28	is'takbarū	were arrogant	 يَقُولُ الَّذِينَ اسْتُضْعِفُوا لِلَّذِينَ اسْتَكْبَرُوا لَوْلَا أَنْتُمْ لَكُنَّا مُؤْمِنِينَ
34:32	3	is'takbarū	were arrogant	 قَالَ الَّذِينَ اسْتَكْبَرُوا لِلَّذِينَ اسْتُضْعِفُوا أَنَحْنُ صَدَدْنَاكُمْ
34:33	5	is'takbarū	were arrogant	 وَقَالَ الَّذِينَ اسْتُضْعِفُوا لِلَّذِينَ اسْتَكْبَرُوا بَلْ مَكْرُ اللَّيْلِ وَالنَّهَارِ
35:7	13	kabīrun	great	 وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ مَغْفِرَةٌ وَأَجْرٌ كَبِيرٌ
35:32	21	l-kabīru	the great	 وَمِنْهُمْ سَابِقٌ بِالْخَيْرَاتِ بِإِذْنِ اللَّهِ ذَٰلِكَ هُوَ الْفَضْلُ الْكَبِيرُ
35:43	1	is'tik'bāran	(Due to) arrogance	 اسْتِكْبَارًا فِي الْأَرْضِ وَمَكْرَ السَّيِّئِ
37:35	10	yastakbirūna	were arrogant	 كَانُوا إِذَا قِيلَ لَهُمْ لَا إِلَٰهَ إِلَّا اللَّهُ يَسْتَكْبِرُونَ
38:74	3	is'takbara	he was arrogant	 إِلَّا إِبْلِيسَ اسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ
38:75	10	astakbarta	Are you arrogant	 أَسْتَكْبَرْتَ أَمْ كُنْتَ مِنَ الْعَالِينَ
39:26	9	akbaru	(is) greater	 فَأَذَاقَهُمُ اللَّهُ الْخِزْيَ فِي الْحَيَاةِ الدُّنْيَا وَلَعَذَابُ الْآخِرَةِ أَكْبَرُ
39:59	7	wa-is'takbarta	and were arrogant	 فَكَذَّبْتَ بِهَا وَاسْتَكْبَرْتَ وَكُنْتَ مِنَ الْكَافِرِينَ
39:60	14	lil'mutakabbirīna	for the arrogant	 أَلَيْسَ فِي جَهَنَّمَ مَثْوًى لِلْمُتَكَبِّرِينَ
39:72	9	l-mutakabirīna	(of) the arrogant	 قِيلَ ادْخُلُوا أَبْوَابَ جَهَنَّمَ خَالِدِينَ فِيهَا فَبِئْسَ مَثْوَى الْمُتَكَبِّرِينَ
40:10	7	akbaru	(was) greater	 إِنَّ الَّذِينَ كَفَرُوا يُنَادَوْنَ لَمَقْتُ اللَّهِ أَكْبَرُ مِنْ مَقْتِكُمْ أَنْفُسَكُمْ
40:12	15	l-kabīri	the Most Great	 وَإِنْ يُشْرَكْ بِهِ تُؤْمِنُوا فَالْحُكْمُ لِلَّهِ الْعَلِيِّ الْكَبِيرِ
40:27	9	mutakabbirin	arrogant one	 وَقَالَ مُوسَىٰ إِنِّي عُذْتُ بِرَبِّي وَرَبِّكُمْ مِنْ كُلِّ مُتَكَبِّرٍ
40:35	22	mutakabbirin	(of) an arrogant	 كَذَٰلِكَ يَطْبَعُ اللَّهُ عَلَىٰ كُلِّ قَلْبِ مُتَكَبِّرٍ جَبَّارٍ
40:47	8	is'takbarū	were arrogant	 فَيَقُولُ الضُّعَفَاءُ لِلَّذِينَ اسْتَكْبَرُوا إِنَّا كُنَّا لَكُمْ تَبَعًا
40:48	3	is'takbarū	(were) arrogant	 قَالَ الَّذِينَ اسْتَكْبَرُوا إِنَّا كُلٌّ فِيهَا إِنَّ اللَّهَ قَدْ حَكَمَ بَيْنَ الْعِبَادِ
40:57	4	akbaru	(is) greater	 لَخَلْقُ السَّمَاوَاتِ وَالْأَرْضِ أَكْبَرُ مِنْ خَلْقِ النَّاسِ
40:60	8	yastakbirūna	(are) proud	 إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ
40:76	8	l-mutakabirīna	(of) the arrogant	 ادْخُلُوا أَبْوَابَ جَهَنَّمَ خَالِدِينَ فِيهَا فَبِئْسَ مَثْوَى الْمُتَكَبِّرِينَ
41:15	3	fa-is'takbarū	they were arrogant	 فَأَمَّا عَادٌ فَاسْتَكْبَرُوا فِي الْأَرْضِ بِغَيْرِ الْحَقِّ
41:38	2	is'takbarū	they are arrogant	 فَإِنِ اسْتَكْبَرُوا فَالَّذِينَ عِنْدَ رَبِّكَ يُسَبِّحُونَ لَهُ بِاللَّيْلِ وَالنَّهَارِ
42:22	24	l-kabīru	the Great	 لَهُمْ مَا يَشَاءُونَ عِنْدَ رَبِّهِمْ ذَٰلِكَ هُوَ الْفَضْلُ الْكَبِيرُ
42:37	3	kabāira	(the) greater	 وَالَّذِينَ يَجْتَنِبُونَ كَبَائِرَ الْإِثْمِ وَالْفَوَاحِشَ
43:48	7	akbaru	(was) greater	 وَمَا نُرِيهِمْ مِنْ آيَةٍ إِلَّا هِيَ أَكْبَرُ مِنْ أُخْتِهَا
44:16	4	l-kub'rā	the greatest	 يَوْمَ نَبْطِشُ الْبَطْشَةَ الْكُبْرَىٰ إِنَّا مُنْتَقِمُونَ
45:8	8	mus'takbiran	arrogantly	 يَسْمَعُ آيَاتِ اللَّهِ تُتْلَىٰ عَلَيْهِ ثُمَّ يُصِرُّ مُسْتَكْبِرًا كَأَنْ لَمْ يَسْمَعْهَا
45:31	9	fa-is'takbartum	but you were proud	 أَفَلَمْ تَكُنْ آيَاتِي تُتْلَىٰ عَلَيْكُمْ فَاسْتَكْبَرْتُمْ وَكُنْتُمْ قَوْمًا مُجْرِمِينَ
45:37	2	l-kib'riyāu	(is) the greatness	 وَلَهُ الْكِبْرِيَاءُ فِي السَّمَاوَاتِ وَالْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمُ
46:10	18	wa-is'takbartum	while you are arrogant	 وَشَهِدَ شَاهِدٌ مِنْ بَنِي إِسْرَائِيلَ عَلَىٰ مِثْلِهِ فَآمَنَ وَاسْتَكْبَرْتُمْ
46:20	20	tastakbirūna	arrogant	 فَالْيَوْمَ تُجْزَوْنَ عَذَابَ الْهُونِ بِمَا كُنْتُمْ تَسْتَكْبِرُونَ فِي الْأَرْضِ بِغَيْرِ الْحَقِّ
53:18	6	l-kub'rā	the Greatest	 لَقَدْ رَأَىٰ مِنْ آيَاتِ رَبِّهِ الْكُبْرَىٰ
53:32	3	kabāira	great	 الَّذِينَ يَجْتَنِبُونَ كَبَائِرَ الْإِثْمِ وَالْفَوَاحِشَ إِلَّا اللَّمَمَ
54:53	3	wakabīrin	and big	 وَكُلُّ صَغِيرٍ وَكَبِيرٍ مُسْتَطَرٌ
57:7	15	kabīrun	great	 فَالَّذِينَ آمَنُوا مِنْكُمْ وَأَنْفَقُوا لَهُمْ أَجْرٌ كَبِيرٌ
59:23	15	l-mutakabiru	the Supreme	 السَّلَامُ الْمُؤْمِنُ الْمُهَيْمِنُ الْعَزِيزُ الْجَبَّارُ الْمُتَكَبِّرُ
63:5	14	mus'takbirūna	(are) arrogant	 لَوَّوْا رُءُوسَهُمْ وَرَأَيْتَهُمْ يَصُدُّونَ وَهُمْ مُسْتَكْبِرُونَ
67:9	18	kabīrin	great	 وَقُلْنَا مَا نَزَّلَ اللَّهُ مِنْ شَيْءٍ إِنْ أَنْتُمْ إِلَّا فِي ضَلَالٍ كَبِيرٍ
67:12	9	kabīrun	great	 إِنَّ الَّذِينَ يَخْشَوْنَ رَبَّهُمْ بِالْغَيْبِ لَهُمْ مَغْفِرَةٌ وَأَجْرٌ كَبِيرٌ
68:33	5	akbaru	(is) greater	 كَذَٰلِكَ الْعَذَابُ وَلَعَذَابُ الْآخِرَةِ أَكْبَرُ لَوْ كَانُوا يَعْلَمُونَ
71:7	13	wa-is'takbarū	and were arrogant	 وَاسْتَغْشَوْا ثِيَابَهُمْ وَأَصَرُّوا وَاسْتَكْبَرُوا اسْتِكْبَارًا
71:7	14	is'tik'bāran	(with) pride	 وَاسْتَغْشَوْا ثِيَابَهُمْ وَأَصَرُّوا وَاسْتَكْبَرُوا اسْتِكْبَارًا
71:22	3	kubbāran	great	 وَمَكَرُوا مَكْرًا كُبَّارًا
74:23	3	wa-is'takbara	and was proud	 ثُمَّ أَدْبَرَ وَاسْتَكْبَرَ
76:20	7	kabīran	great	 وَإِذَا رَأَيْتَ ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا
79:20	3	l-kub'rā	the great	 فَأَرَاهُ الْآيَةَ الْكُبْرَىٰ
79:34	4	l-kub'rā	the great	 فَإِذَا جَاءَتِ الطَّامَّةُ الْكُبْرَىٰ
85:11	14	l-kabīru	the great	 لَهُمْ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ذَٰلِكَ الْفَوْزُ الْكَبِيرُ
87:12	4	l-kub'rā	[the] great	 الَّذِي يَصْلَى النَّارَ الْكُبْرَىٰ
