surah:ayah	position	string	meaning	ayah_link
15:98	6	l-sājidīna	those who prostrate	 فَسَبِّحْ بِحَمْدِ رَبِّكَ وَكُنْ مِنَ السَّاجِدِينَ
16:48	14	sujjadan	prostrating	 يَتَفَيَّأُ ظِلَالُهُ عَنِ الْيَمِينِ وَالشَّمَائِلِ سُجَّدًا لِلَّهِ وَهُمْ دَاخِرُونَ
16:49	2	yasjudu	prostrate	 وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ
17:1	7	l-masjidi	Al-Masjid Al-Haraam	 سُبْحَانَ الَّذِي أَسْرَىٰ بِعَبْدِهِ لَيْلًا مِنَ الْمَسْجِدِ الْحَرَامِ
17:1	10	l-masjidi	Al-Masjid Al-Aqsa	 إِلَى الْمَسْجِدِ الْأَقْصَى الَّذِي بَارَكْنَا حَوْلَهُ لِنُرِيَهُ مِنْ آيَاتِنَا
17:7	15	l-masjida	the Masjid	 وَلِيَدْخُلُوا الْمَسْجِدَ كَمَا دَخَلُوهُ أَوَّلَ مَرَّةٍ
17:61	4	us'judū	Prostrate	 وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ قَالَ أَأَسْجُدُ لِمَنْ خَلَقْتَ طِينًا
17:61	10	a-asjudu	Shall I prostrate	 إِلَّا إِبْلِيسَ قَالَ أَأَسْجُدُ لِمَنْ خَلَقْتَ طِينًا
17:107	18	sujjadan	(in) prostration	 إِذَا يُتْلَىٰ عَلَيْهِمْ يَخِرُّونَ لِلْأَذْقَانِ سُجَّدًا
18:21	32	masjidan	a place of worship	 قَالَ الَّذِينَ غَلَبُوا عَلَىٰ أَمْرِهِمْ لَنَتَّخِذَنَّ عَلَيْهِمْ مَسْجِدًا
18:50	4	us'judū	Prostrate	 وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ كَانَ مِنَ الْجِنِّ
19:58	28	sujjadan	prostrating	 إِذَا تُتْلَىٰ عَلَيْهِمْ آيَاتُ الرَّحْمَٰنِ خَرُّوا سُجَّدًا وَبُكِيًّا
20:70	3	sujjadan	prostrating	 فَأُلْقِيَ السَّحَرَةُ سُجَّدًا قَالُوا آمَنَّا بِرَبِّ هَارُونَ وَمُوسَىٰ
20:116	4	us'judū	Prostrate	 وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ
22:18	5	yasjudu	prostrates	 أَلَمْ تَرَ أَنَّ اللَّهَ يَسْجُدُ لَهُ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ
22:25	8	wal-masjidi	and Al-Masjid Al-Haraam	 إِنَّ الَّذِينَ كَفَرُوا وَيَصُدُّونَ عَنْ سَبِيلِ اللَّهِ وَالْمَسْجِدِ الْحَرَامِ
22:26	16	l-sujūdi	(and) those who prostrate	 وَطَهِّرْ بَيْتِيَ لِلطَّائِفِينَ وَالْقَائِمِينَ وَالرُّكَّعِ السُّجُودِ
22:40	22	wamasājidu	and masajid 	 لَهُدِّمَتْ صَوَامِعُ وَبِيَعٌ وَصَلَوَاتٌ وَمَسَاجِدُ يُذْكَرُ فِيهَا اسْمُ اللَّهِ كَثِيرًا
22:77	5	wa-us'judū	and prostrate	 يَا أَيُّهَا الَّذِينَ آمَنُوا ارْكَعُوا وَاسْجُدُوا وَاعْبُدُوا رَبَّكُمْ
25:60	4	us'judū	Prostrate	 وَإِذَا قِيلَ لَهُمُ اسْجُدُوا لِلرَّحْمَٰنِ قَالُوا وَمَا الرَّحْمَٰنُ
25:60	9	anasjudu	Should we prostrate	 قَالُوا وَمَا الرَّحْمَٰنُ أَنَسْجُدُ لِمَا تَأْمُرُنَا
25:64	4	sujjadan	prostrating	 وَالَّذِينَ يَبِيتُونَ لِرَبِّهِمْ سُجَّدًا وَقِيَامًا
26:46	3	sājidīna	prostrate	 فَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ
26:219	3	l-sājidīna	those who prostrate	 وَتَقَلُّبَكَ فِي السَّاجِدِينَ
27:24	3	yasjudūna	prostrating	 وَجَدْتُهَا وَقَوْمَهَا يَسْجُدُونَ لِلشَّمْسِ مِنْ دُونِ اللَّهِ
27:25	2	yasjudū	they prostrate	 أَلَّا يَسْجُدُوا لِلَّهِ الَّذِي يُخْرِجُ الْخَبْءَ فِي السَّمَاوَاتِ وَالْأَرْضِ
32:15	9	sujjadan	prostrating	 إِنَّمَا يُؤْمِنُ بِآيَاتِنَا الَّذِينَ إِذَا ذُكِّرُوا بِهَا خَرُّوا سُجَّدًا
38:72	9	sājidīna	prostrating	 فَإِذَا سَوَّيْتُهُ وَنَفَخْتُ فِيهِ مِنْ رُوحِي فَقَعُوا لَهُ سَاجِدِينَ
38:75	6	tasjuda	you (should) prostrate	 قَالَ يَا إِبْلِيسُ مَا مَنَعَكَ أَنْ تَسْجُدَ لِمَا خَلَقْتُ بِيَدَيَّ
39:9	6	sājidan	prostrating	 أَمَّنْ هُوَ قَانِتٌ آنَاءَ اللَّيْلِ سَاجِدًا وَقَائِمًا يَحْذَرُ الْآخِرَةَ
41:37	8	tasjudū	prostrate	 لَا تَسْجُدُوا لِلشَّمْسِ وَلَا لِلْقَمَرِ
41:37	12	wa-us'judū	but prostrate	 لَا تَسْجُدُوا لِلشَّمْسِ وَلَا لِلْقَمَرِ وَاسْجُدُوا لِلَّهِ الَّذِي خَلَقَهُنَّ
48:25	6	l-masjidi	Al-Masjid Al-Haraam	 هُمُ الَّذِينَ كَفَرُوا وَصَدُّوكُمْ عَنِ الْمَسْجِدِ الْحَرَامِ
48:27	8	l-masjida	Al-Masjid Al-Haraam	 لَتَدْخُلُنَّ الْمَسْجِدَ الْحَرَامَ إِنْ شَاءَ اللَّهُ آمِنِينَ
48:29	13	sujjadan	and prostrating	 تَرَاهُمْ رُكَّعًا سُجَّدًا يَبْتَغُونَ فَضْلًا مِنَ اللَّهِ وَرِضْوَانًا
48:29	24	l-sujūdi	(of) the prostration	 سِيمَاهُمْ فِي وُجُوهِهِمْ مِنْ أَثَرِ السُّجُودِ
50:40	5	l-sujūdi	the prostration	 وَمِنَ اللَّيْلِ فَسَبِّحْهُ وَأَدْبَارَ السُّجُودِ
53:62	1	fa-us'judū	So prostrate	 فَاسْجُدُوا لِلَّهِ وَاعْبُدُوا
55:6	3	yasjudāni	both prostrate	 وَالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ
68:42	7	l-sujūdi	prostrate	 يَوْمَ يُكْشَفُ عَنْ سَاقٍ وَيُدْعَوْنَ إِلَى السُّجُودِ فَلَا يَسْتَطِيعُونَ
68:43	9	l-sujūdi	prostrate	 وَقَدْ كَانُوا يُدْعَوْنَ إِلَى السُّجُودِ وَهُمْ سَالِمُونَ
72:18	2	l-masājida	the masjids	 وَأَنَّ الْمَسَاجِدَ لِلَّهِ فَلَا تَدْعُوا مَعَ اللَّهِ أَحَدًا
76:26	3	fa-us'jud	prostrate	 وَمِنَ اللَّيْلِ فَاسْجُدْ لَهُ وَسَبِّحْهُ لَيْلًا طَوِيلًا
84:21	6	yasjudūna	they prostrate	 وَإِذَا قُرِئَ عَلَيْهِمُ الْقُرْآنُ لَا يَسْجُدُونَ
96:19	4	wa-us'jud	But prostrate	 كَلَّا لَا تُطِعْهُ وَاسْجُدْ وَاقْتَرِبْ
