surah:ayah	position	string	meaning	ayah_link
10:19	13	laquḍiya	surely, it (would) have been judged	 وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ لَقُضِيَ بَيْنَهُمْ فِيمَا فِيهِ يَخْتَلِفُونَ
10:47	7	quḍiya	it will be judged	 فَإِذَا جَاءَ رَسُولُهُمْ قُضِيَ بَيْنَهُمْ بِالْقِسْطِ وَهُمْ لَا يُظْلَمُونَ
10:54	16	waquḍiya	But will be judged	 وَقُضِيَ بَيْنَهُمْ بِالْقِسْطِ وَهُمْ لَا يُظْلَمُونَ
10:71	30	iq'ḍū	carry (it out)	 ثُمَّ لَا يَكُنْ أَمْرُكُمْ عَلَيْكُمْ غُمَّةً ثُمَّ اقْضُوا إِلَيَّ وَلَا تُنْظِرُونِ
10:93	17	yaqḍī	will judge	 إِنَّ رَبَّكَ يَقْضِي بَيْنَهُمْ يَوْمَ الْقِيَامَةِ فِيمَا كَانُوا فِيهِ يَخْتَلِفُونَ
11:44	9	waquḍiya	and was fulfilled	 وَيَا سَمَاءُ أَقْلِعِي وَغِيضَ الْمَاءُ وَقُضِيَ الْأَمْرُ
11:110	12	laquḍiya	surely would have been judged	 وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ لَقُضِيَ بَيْنَهُمْ
12:41	15	quḍiya	Has been decreed	 قُضِيَ الْأَمْرُ الَّذِي فِيهِ تَسْتَفْتِيَانِ
12:68	20	qaḍāhā	which he carried out	 إِلَّا حَاجَةً فِي نَفْسِ يَعْقُوبَ قَضَاهَا
14:22	4	quḍiya	has been decided	 وَقَالَ الشَّيْطَانُ لَمَّا قُضِيَ الْأَمْرُ إِنَّ اللَّهَ وَعَدَكُمْ وَعْدَ الْحَقِّ
17:23	1	waqaḍā	And has decreed	 وَقَضَىٰ رَبُّكَ أَلَّا تَعْبُدُوا إِلَّا إِيَّاهُ وَبِالْوَالِدَيْنِ إِحْسَانًا
19:21	15	maqḍiyyan	decreed.'	 وَلِنَجْعَلَهُ آيَةً لِلنَّاسِ وَرَحْمَةً مِنَّا وَكَانَ أَمْرًا مَقْضِيًّا
19:35	10	qaḍā	He decrees	 سُبْحَانَهُ إِذَا قَضَىٰ أَمْرًا فَإِنَّمَا يَقُولُ لَهُ كُنْ فَيَكُونُ
19:39	5	quḍiya	has been decided	 وَأَنْذِرْهُمْ يَوْمَ الْحَسْرَةِ إِذْ قُضِيَ الْأَمْرُ
19:71	9	maqḍiyyan	decreed	 وَإِنْ مِنْكُمْ إِلَّا وَارِدُهَا كَانَ عَلَىٰ رَبِّكَ حَتْمًا مَقْضِيًّا
20:72	11	fa-iq'ḍi	So decree	 فَاقْضِ مَا أَنْتَ قَاضٍ
20:72	14	qāḍin	(are) decreeing	 فَاقْضِ مَا أَنْتَ قَاضٍ
20:72	16	taqḍī	you can decree	 فَاقْضِ مَا أَنْتَ قَاضٍ إِنَّمَا تَقْضِي هَٰذِهِ الْحَيَاةَ الدُّنْيَا
20:114	11	yuq'ḍā	is completed	 وَلَا تَعْجَلْ بِالْقُرْآنِ مِنْ قَبْلِ أَنْ يُقْضَىٰ إِلَيْكَ وَحْيُهُ
22:29	2	l'yaqḍū	let them end	 ثُمَّ لْيَقْضُوا تَفَثَهُمْ وَلْيُوفُوا نُذُورَهُمْ
27:78	3	yaqḍī	will judge	 إِنَّ رَبَّكَ يَقْضِي بَيْنَهُمْ بِحُكْمِهِ وَهُوَ الْعَزِيزُ الْعَلِيمُ
28:15	28	faqaḍā	and killed him	 فَوَكَزَهُ مُوسَىٰ فَقَضَىٰ عَلَيْهِ
28:29	2	qaḍā	Musa fulfilled	 فَلَمَّا قَضَىٰ مُوسَى الْأَجَلَ وَسَارَ بِأَهْلِهِ آنَسَ مِنْ جَانِبِ الطُّورِ نَارًا
33:23	11	qaḍā	has fulfilled	 فَمِنْهُمْ مَنْ قَضَىٰ نَحْبَهُ وَمِنْهُمْ مَنْ يَنْتَظِرُ
33:36	7	qaḍā	Allah has decided	 وَمَا كَانَ لِمُؤْمِنٍ وَلَا مُؤْمِنَةٍ إِذَا قَضَى اللَّهُ وَرَسُولُهُ أَمْرًا أَنْ يَكُونَ لَهُمُ الْخِيَرَةُ مِنْ أَمْرِهِمْ
33:37	27	qaḍā	ended	 فَلَمَّا قَضَىٰ زَيْدٌ مِنْهَا وَطَرًا زَوَّجْنَاكَهَا
33:37	42	qaḍaw	they have ended	 لِكَيْ لَا يَكُونَ عَلَى الْمُؤْمِنِينَ حَرَجٌ فِي أَزْوَاجِ أَدْعِيَائِهِمْ إِذَا قَضَوْا مِنْهُنَّ وَطَرًا
35:36	7	yuq'ḍā	is decreed	 وَالَّذِينَ كَفَرُوا لَهُمْ نَارُ جَهَنَّمَ لَا يُقْضَىٰ عَلَيْهِمْ فَيَمُوتُوا
39:42	13	qaḍā	He has decreed	 فَيُمْسِكُ الَّتِي قَضَىٰ عَلَيْهَا الْمَوْتَ
39:69	10	waquḍiya	and it (will) be judged	 وَقُضِيَ بَيْنَهُمْ بِالْحَقِّ وَهُمْ لَا يُظْلَمُونَ
39:75	10	waquḍiya	And (will) be judged	 وَقُضِيَ بَيْنَهُمْ بِالْحَقِّ وَقِيلَ الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
40:20	2	yaqḍī	judges	 وَاللَّهُ يَقْضِي بِالْحَقِّ وَالَّذِينَ يَدْعُونَ مِنْ دُونِهِ لَا يَقْضُونَ بِشَيْءٍ
40:20	9	yaqḍūna	they judge	 وَالَّذِينَ يَدْعُونَ مِنْ دُونِهِ لَا يَقْضُونَ بِشَيْءٍ
40:68	6	qaḍā	He decrees	 فَإِذَا قَضَىٰ أَمْرًا فَإِنَّمَا يَقُولُ لَهُ كُنْ فَيَكُونُ
40:78	28	quḍiya	it will be decided	 فَإِذَا جَاءَ أَمْرُ اللَّهِ قُضِيَ بِالْحَقِّ وَخَسِرَ هُنَالِكَ الْمُبْطِلُونَ
41:12	1	faqaḍāhunna	Then He completed them	 فَقَضَاهُنَّ سَبْعَ سَمَاوَاتٍ فِي يَوْمَيْنِ
41:45	12	laquḍiya	surely, would have been settled	 وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ لَقُضِيَ بَيْنَهُمْ
42:14	19	laquḍiya	surely, it (would have) been settled	 وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِنْ رَبِّكَ إِلَىٰ أَجَلٍ مُسَمًّى لَقُضِيَ بَيْنَهُمْ
42:21	16	laquḍiya	surely, it (would have) been judged	 وَلَوْلَا كَلِمَةُ الْفَصْلِ لَقُضِيَ بَيْنَهُمْ
43:77	3	liyaqḍi	Let put an end	 وَنَادَوْا يَا مَالِكُ لِيَقْضِ عَلَيْنَا رَبُّكَ قَالَ إِنَّكُمْ مَاكِثُونَ
45:17	17	yaqḍī	will judge	 إِنَّ رَبَّكَ يَقْضِي بَيْنَهُمْ يَوْمَ الْقِيَامَةِ فِيمَا كَانُوا فِيهِ يَخْتَلِفُونَ
46:29	14	quḍiya	it was concluded	 فَلَمَّا حَضَرُوهُ قَالُوا أَنْصِتُوا فَلَمَّا قُضِيَ وَلَّوْا إِلَىٰ قَوْمِهِمْ مُنْذِرِينَ
62:10	2	quḍiyati	is concluded	 فَإِذَا قُضِيَتِ الصَّلَاةُ فَانْتَشِرُوا فِي الْأَرْضِ
69:27	3	l-qāḍiyata	the end	 يَا لَيْتَهَا كَانَتِ الْقَاضِيَةَ
80:23	3	yaqḍi	he has accomplished	 كَلَّا لَمَّا يَقْضِ مَا أَمَرَهُ
